Station code,Location,State or province,Opened
TPL,Temple,TX,1911
TXA,Texarkana,AR,1930
THN,Thurmond,WV,1905
FTC,Ticonderoga,NY,—
TCA,Toccoa,GA,1915
TOL,Toledo,OH,1950
TOH,Tomah,WI,—
TOP,Topeka,KS,1950
TWO,Toronto,ON,1927
TRE,Trenton,NJ,1863
TRI,Trinidad,CO,—
TRM,Troy,MI,2014
TRU,Truckee,CA,1891
TUS,Tucson,AZ,1907
TUK,Tukwila,WA,2001
TRK,Denair,CA,—
TCL,Tuscaloosa,AL,1911
TYR,Tyrone,PA,1880
UCA,Utica,NY,1914
VNC,Van Nuys,CA,1982
VAC,Vancouver,BC,1906
VAN,Vancouver,WA,1908
VEC,Ventura,CA,1992
VRV,Victorville,CA,—
WFD,Wallingford,CT,1871
WNR,Walnut Ridge,AR,"1908, 1974"
WAR,Warrensburg,MO,1890
WAC,Wasco,CA,1975
WAS,Washington,DC,1908
WAH,Washington,MO,Pre-1865
WAB,Waterbury,VT,1875
WTI,Waterloo,IN,1990
WEM,Wells,ME,2001
WEN,Wenatchee,WA,1981
WGL,West Glacier,MT,"1910, 1935"
WPB,West Palm Beach,FL,1925
WLY,Westerly,RI,1837
WSP,Westport,NY,1876
WRJ,White River Junction,VT,1937
WSS,White Sulfur Springs,WV,—
WFH,Whitefish,MT,—
WHL,Whitehall,NY,1974
WBG,Williamsburg,VA,1935
WTN,Williston,ND,1910
WIL,Wilmington,DE,1908
WLN,Wilson,NC,1924
WND,Windsor,CT,1870
WNM,Windsor,VT,1901
WNL,Windsor Locks,CT,"1831, 1875, 1981"
WNN,Winnemucca,NV,1868
WIN,Winona,MN,1888
WLO,Winslow,AZ,1929
WTH,Winter Haven,FL,1925
WPR,Winter Park,CO,—
WPK,Winter Park,FL,1882
WDL,Wisconsin Dells,WI,1989
WIH,Wishram,WA,"1907, 1981"
WOB,Woburn,MA,2001
WPT,Wolf Point,MT,—
WDB,Woodbridge,VA,1992
WOR,Worcester,MA,1911
YAZ,Yazoo City,MS,1995
YEM,Yemassee,SC,—
YNY,Yonkers,NY,—
YUM,Yuma,AZ,—
ATR,Atmore,,1989
BAS,Bay St. Louis,,1993
BIX,Biloxi,,1993
CIP,Chipley,,1993
CSV,Crestview,,1993
GUF,Gulfport,,1993
LEC,Lake City,,1993
MDO,Madison,,1993
MOE,Mobile,,1989
PAG,Pascagoula,,1993
PNS,Pensacola,,1993
PRK,Port Kent,,1977
TLH,Tallahassee,,1993
